mean_fit_time,[24.84647865 23.46789923 23.68932314 25.46198554 21.23404093]
std_fit_time,[1.97784689 1.85487104 1.44524842 1.74506145 3.89986762]
mean_score_time,[0.0061934  0.00479865 0.00621147 0.00334415 0.0047965 ]
std_score_time,[0.00391899 0.00213162 0.00656753 0.00043954 0.00263947]
param_C,[4190 4195 4200 4205 4210]
param_max_iter,[10000 10000 10000 10000 10000]
params,"[{'C': 4190, 'max_iter': 10000}, {'C': 4195, 'max_iter': 10000}, {'C': 4200, 'max_iter': 10000}, {'C': 4205, 'max_iter': 10000}, {'C': 4210, 'max_iter': 10000}]"
split0_test_score,[0.78795038 0.78854105 0.78883639 0.78765505 0.78706438]
split1_test_score,[0.7872969  0.78641064 0.78670606 0.78670606 0.78581979]
split2_test_score,[0.79527326 0.79556869 0.79527326 0.794387   0.79556869]
split3_test_score,[0.79172821 0.79113737 0.79113737 0.79172821 0.79113737]
split4_test_score,[0.78818316 0.78936484 0.78995569 0.79054653 0.78906942]
mean_test_score,[0.79008638 0.79020452 0.79038175 0.79020457 0.78973193]
std_test_score,[0.00301879 0.00308254 0.0028488  0.00278104 0.00343227]
rank_test_score,[4 3 1 2 5]
